Generation,Player,Action,Spent Steel/Titanium,Terraforming,Cities
0,1,chose Ecoline,,,
0,2,chose Teractor,,,
0,1,bought 6,,,
0,2,bought 4,,,
1,1,standard Acquifer,,1 ocean,
1,1,played Acquired Company,,,
1,2,played Imported GHG,,,
1,1,played Restricted Area,,,
1,1,used Restricted Area,,,
1,2,passed,,,
1,1,passed,,,
2,2,bought 3,,,
2,1,bought 2,,,
2,2,played Optimal Aerobraking,,,
2,1,used Restricted Area,,,
2,2,passed,,,
2,1,passed,,,
3,1,bought 2,,,
3,2,bought 2,,,
3,2,played Asteroid Mining,,,
3,2,used Restricted Area,,,
3,1,converted plants to greenery,,1 oxygen,
3,1,played Mining Rights,1 steel,,
3,2,played Media Group,,,
3,1,played Vesta Shipyard,,,
3,1,played Mining Area,,,
3,2,passed,,,
3,1,passed,,,
4,2,bought 3,,,
4,1,bought 3,,,
4,2,played Food Factory,3 steel,,
4,2,played Adapted Lichen,,,
4,1,played Asteroid Mining Consortium,,,
4,1,used Restricted Area,,,
4,2,passed,,,
4,1,passed,,,
5,1,bought 3,,,
5,2,bought 3,,,
5,1,played Advanced Alloys,,,
5,1,played Convoy from Europa,2 titanium,1 ocean,
5,2,played Research Outpost,,,city
5,2,converted plants to greenery,,1 oxygen,
5,1,used Restricted Area,,,
5,1,played Technology Demonstration,1 titanium,,
5,2,passed,,,
5,1,passed,,,
6,2,bought 3,,,
6,1,bought 2,,,
6,2,played Regolith Eaters,,,
6,2,played Protected Habitats,,,
6,1,played Big Asteroid,4 titanium,2 temperature,
6,1,standard Asteroid,,1 temperature,
6,2,converted heat to temperature,,1 temperature,
6,2,used Regolith Eaters,,,
6,1,used Restricted Area,,,
6,1,played LaGrange Observatory,2 titanium,,
6,2,passed,,,
6,1,passed,,,
7,1,bought 1,,,
7,2,bought 3,,,
7,1,claimed Planner,,,
7,1,used Restricted Area,,,
7,2,played Aerobraked Ammonia Asteroid,6 titanium,,
7,2,played Tectonic Stress Power,2 steel,,
7,1,played Lightning Harvest,,,
7,1,played Fuel Factory,,,
7,2,played Space Mirrors,,,
7,2,played Earth Office,,,
7,1,played Space Elevator,5 titanium,,
7,2,used Regolith Eaters,,1 oxygen,
7,1,passed,,,
7,2,passed,,,
8,2,bought 1,,,
8,1,bought 3,,,
8,2,played Cupola City,1 steel,,city
8,2,converted heat to temperature,,1 temperature,
8,1,played Mining Expedition,,,
8,1,used Space Elevator,,,
8,2,played Bribed Committee,,,
8,2,played Colonizer Training Camp,,,
8,1,played Gene Repair,,,
8,1,used Restricted Area,,,
8,2,converted plants to greenery,,1 oxygen,
8,1,passed,,,
8,2,passed,,,
9,1,bought 1,,,
9,2,bought 4,,,
9,1,played Archaebacteria,,,
9,1,played Arctic Algae,,,
9,2,played Methane from Titan,2 titanium,,
9,2,played Satellites,,,
9,1,played Physics Complex,,,
9,1,used Space Elevator,,,
9,2,converted heat to temperature,,1 temperature,
9,2,used Regolith Eaters,,,
9,1,played Mass Converter,,,
9,1,played Beam from a Thorium Asteroid,8 titanium,,
9,2,passed,,,
9,1,passed,,,
10,2,bought 3,,,
10,1,bought 4,,,
10,2,played GHG Factories,2 steel,,
10,2,claimed Builder,,,
10,1,played Immigrant City,,,city
10,1,used Space Elevator,,,
10,2,played Breathing Filters,,,
10,2,funded Banker,,,
10,1,used Physics Complex,,,
10,1,played Space Station,2 titanium,,
10,2,converted heat to temperature,,1 temperature,
10,2,converted plants to greenery,,1 oxygen,
10,1,used Restricted Area,,,
10,1,used Regolith Eaters,,1 oxygen,
10,2,passed,,,
10,1,passed,,,
11,1,bought 2,,,
11,2,bought 2,,,
11,1,played Strip Mine,,"2 oxygen, 1 temperature",
11,1,played Quantum Extractor,,,
11,2,played IO Mining Industries,2 titanium,,
11,2,played Great Escarpment Consortium,,,
11,1,played Phobos Space Haven,5 titanium,,city
11,1,used Space Elevator,,,
11,2,converted heat to temperature,,1 temperature,
11,2,converted plants to greenery,,1 oxygen,
11,1,used Physics Complex,,,
11,1,converted heat to temperature,,1 temperature,
11,2,used Regolith Eaters,,,
11,1,used Restricted Area,,,
11,2,passed,,,
11,1,passed,,,
12,2,bought 1,,,
12,1,bought 1,,,
12,2,funded Landlord,,,
12,2,claimed Gardener,,,
12,1,played Anti-Gravity Technology,,,
12,1,used Space Elevator,,,
12,2,played Bushes,,,
12,2,played Equatorial Magnetizer,3 steel,,
12,1,played Commercial District,,,
12,1,played Immigration Shuttles,5 titanium,,
12,2,converted heat to temperature,,1 temperature,
12,2,converted heat to temperature,,1 temperature,
12,1,played Giant Ice Asteroid,7 titanium,"2 temperature, 2 ocean",
12,1,converted heat to temperature,,1 temperature,
12,2,played Industrial Center,,,
12,2,used Equatorial Magnetizer,,,
12,1,played AI Central,2 steel,,
12,1,used AI Central,,,
12,2,played Industrial Microbes,1 steel,,
12,2,used Regolith Eaters,,,
12,1,played Permafrost Extraction,,1 ocean,
12,1,played Sponsors,,,
12,2,converted plants to greenery,,1 oxygen,
12,1,used Physics Complex,,,
12,1,converted plants to greenery,,1 oxygen,
12,2,passed,,,
12,1,played Decomposers,,,
12,1,passed,,,
13,1,bought 3,,,
13,2,bought 3,,,
13,1,played Sabotage,,,
13,1,used AI Central,,,
13,2,played Earth Catapult,,,
13,2,played Nitrogen-Rich Asteroid,,"1 temperature, 1 ocean",
13,1,used Restricted Area,,,
13,1,played Standard Technology,,,
13,2,converted heat to temperature,,1 temperature,
13,2,converted heat to temperature,,1 temperature,
13,1,converted heat to temperature,,1 temperature,
