awards,corporations,draft,expansions,generations,map,milestones,players,scores,timestamp,wgt,country,colonies,rank,key
"['CULTIVATOR', 'SPACE BARON']","['PHOBOLOG', 'UNMI']",NO,['PRELUDE'],9,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'ENERGIZER']",2,"['80', '77']",,,,,,-LNUHHxaWahqKeKEfa9e
"['LANDLORD', 'BANKER', 'SCIENTIST']","['INVENTRIX', 'ECOLINE', 'THARSIS REPUBLIC', 'TERACTOR', 'INTERPLAN. CINEMATICS']",YES,['CORPORATE'],9,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",5,"['55', '60', '59', '55', '50']",,,,,,-LNUHaRC5v7KNHPCHPmU
"['CULTIVATOR', 'EXCENTRIC', 'CONTRACTOR']","['VIRON', 'MINING GUILD', 'ECOLINE']",NO,"['CORPORATE', 'VENUS']",13,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",3,"['88', '96', '96']",,,,,,-LNUk5tgL5NBvRiQU3H2
"['LANDLORD', 'THERMALIST', 'MINER']","['CELESTIC', 'PHOBOLOG', 'THORGATE']",NO,"['CORPORATE', 'VENUS']",13,THARSIS,"['TERRAFORMER', 'GARDENER', 'HOVERLORD']",3,"['84', '92', '90']",,,,,,-LNUkP-zQsmaLT9xkcFV
"['LANDLORD', 'SCIENTIST', 'THERMALIST']","['KUIPER BELT COOP.', 'INVENTRIX', 'APHRODITE']",NO,"['CORPORATE', 'VENUS']",13,THARSIS,"['BUILDER', 'PLANNER', 'HOVERLORD']",3,"['99', '73', '94']",,,,,,-LNUki9cOc7gNKSff6Oq
"['LANDLORD', 'THERMALIST', 'MINER']","['HELION', 'PHOBOLOG', 'THARSIS REPUBLIC']",NO,"['CORPORATE', 'VENUS']",13,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",3,"['78', '89', '118']",,,,,,-LNUlKzJVo6XTlexJQl1
"['LANDLORD', 'SCIENTIST', 'VENUPHILE']","['INTERPLAN. CINEMATICS', 'TERACTOR', 'ECOLINE']",NO,"['CORPORATE', 'VENUS']",13,THARSIS,"['TERRAFORMER', 'GARDENER', 'PLANNER']",3,"['114', '79', '95']",,,,,,-LNUl_LxNWimro72yoCI
"['THERMALIST', 'MINER']","['UNMI', 'THARSIS REPUBLIC']",NO,['CORPORATE'],13,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['102', '111']",,,,,,-LNUwtqPgLdu_LEQ2bmS
"['BANKER', 'SCIENTIST', 'MINER']","['VIRON', 'SATURN SYSTEMS']",NO,['CORPORATE'],14,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",2,"['87', '124']",,,,,,-LNUx5vODkdr4LOWb8gR
"['BANKER', 'THERMALIST', 'MINER']","['INVENTRIX', 'TERACTOR']",NO,['CORPORATE'],13,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['74', '109']",,,,,,-LNUxIXiV5Ml4wdWq4ed
"['LANDLORD', 'THERMALIST', 'MINER']","['THORGATE', 'ECOLINE']",NO,['CORPORATE'],14,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",2,"['119', '110']",,,,,,-LNUxWS8oA1dPsqI6tlW
"['CELEBRITY', 'INDUSTRIALIST', 'ESTATE DEALER']","['HELION', 'ECOLINE', 'SATURN SYSTEMS', 'INTERPLAN. CINEMATICS']",NO,['CORPORATE'],8,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'LEGEND']",4,"['58', '59', '46', '54']",,,,,,-LNV1cGHRwA2PJ6wjvhI
"['CELEBRITY', 'INDUSTRIALIST', 'ESTATE DEALER']","['PHOBOLOG', 'UNMI', 'THARSIS REPUBLIC', 'MANUTECH']",NO,['CORPORATE'],9,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",4,"['61', '71', '57', '55']",,,,,,-LNV1wF1ThB3esH_Ly3Z
"['CELEBRITY', 'DESERT SETTLER', 'BENEFACTOR']","['CREDICOR', 'MINING GUILD', 'VIRON', 'TERACTOR']",NO,['CORPORATE'],11,ELYSIUM,"['ECOLOGIST', 'TYCOON', 'LEGEND']",4,"['83', '79', '71', '74']",,,,,,-LNV2BaHse9gQVOtLEME
"['CULTIVATOR', 'CONTRACTOR', 'VENUPHILE']","['MANUTECH', 'RECYCLON', 'ROBINSON INDUSTRIES']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",3,"['92', '114', '100']",,,,,,-LNV9nJcn6SMzlTL2BSy
"['INDUSTRIALIST', 'DESERT SETTLER', 'BENEFACTOR']","['SATURN SYSTEMS', 'THARSIS REPUBLIC', 'UNMI']",NO,['CORPORATE'],9,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",3,"['82', '77', '66']",,,,,,-LNVAyy_-Wyg6XRy85W6
"['LANDLORD', 'THERMALIST']","['ECOLINE', 'PHOBOLOG', 'SPLICE']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",8,THARSIS,"['GARDENER', 'BUILDER', 'PLANNER']",3,"['85', '84', '90']",,,,,,-LNVB-TIvq0Mj3GD8-If
"['MAGNATE', 'EXCENTRIC', 'CONTRACTOR']","['THORGATE', 'INTERPLAN. CINEMATICS', 'HELION', 'CREDICOR']",NO,['CORPORATE'],9,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'ENERGIZER']",4,"['55', '56', '52', '60']",,,,,,-LNVBCCxju3M-R_mDdkD
"['EXCENTRIC', 'CONTRACTOR']","['PHOBOLOG', 'THARSIS REPUBLIC', 'VIRON']",NO,['CORPORATE'],12,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'ENERGIZER']",3,"['74', '92', '78']",,,,,,-LNVBO_6jWGsZXQ3BSDm
"['EXCENTRIC', 'CONTRACTOR']","['MANUTECH', 'TERACTOR', 'SATURN SYSTEMS']",NO,['CORPORATE'],10,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'RIM SETTLER']",3,"['72', '80', '73']",,,,,,-LNVBdZd7Wgl1GosLyf1
"['CELEBRITY', 'INDUSTRIALIST', 'BENEFACTOR']","['SATURN SYSTEMS', 'THARSIS REPUBLIC']",NO,['CORPORATE'],12,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",2,"['88', '93']",,,,,,-LNVBmn9Lm2xB7PDWMoP
"['ESTATE DEALER', 'BENEFACTOR']","['SATURN SYSTEMS', 'PHOBOLOG', 'HELION']",NO,['CORPORATE'],11,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'LEGEND']",3,"['83', '55', '77']",,,,,,-LNVC-PCMg0nDCInbcW5
"['ESTATE DEALER', 'BENEFACTOR']","['ECOLINE', 'THORGATE', 'CREDICOR']",NO,['CORPORATE'],10,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",3,"['70', '76', '73']",,,,,,-LNVCCPivh4b7Bxn5h0A
"['DESERT SETTLER', 'BENEFACTOR']","['KUIPER BELT COOP.', 'THARSIS REPUBLIC', 'UNMI', 'MINING GUILD']",NO,['CORPORATE'],10,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'LEGEND']",4,"['64', '67', '62', '68']",,,,,,-LNVCTmdzogMuae-btI5
"['CELEBRITY', 'DESERT SETTLER', 'BENEFACTOR']","['TERACTOR', 'VIRON']",NO,['CORPORATE'],15,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'LEGEND']",2,"['135', '146']",,,,,,-LNVCd3PgiynROwCB8tk
"['MAGNATE', 'EXCENTRIC']","['UNMI', 'VIRON', 'INVENTRIX']",NO,['CORPORATE'],11,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'RIM SETTLER']",3,"['63', '93', '63']",,,,,,-LNVD_7g20C3penUmlPx
"['CULTIVATOR', 'MAGNATE', 'EXCENTRIC']","['MANUTECH', 'ECOLINE', 'THORGATE']",NO,['CORPORATE'],12,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'ENERGIZER']",3,"['91', '78', '66']",,,,,,-LNVDmGaA8pwjSOWb1tu
"['MAGNATE', 'EXCENTRIC', 'CONTRACTOR']","['INTERPLAN. CINEMATICS', 'MINING GUILD', 'THARSIS REPUBLIC']",NO,['CORPORATE'],11,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",3,"['76', '78', '79']",,,,,,-LNVE--cdkvuH-r9zXjG
"['LANDLORD', 'BANKER', 'SCIENTIST']","['MANUTECH', 'UNMI']",NO,['CORPORATE'],14,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['124', '103']",,,,,,-LNVEAcmuvC9eFf1Y3Uk
"['BANKER', 'SCIENTIST', 'THERMALIST']","['KUIPER BELT COOP.', 'UNMI', 'INVENTRIX', 'TERACTOR']",NO,['CORPORATE'],9,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",4,"['51', '68', '56', '57']",,,,,,-LNVEPIJ6HyXQXPtB9Ns
"['BANKER', 'SCIENTIST', 'THERMALIST']","['THARSIS REPUBLIC', 'ECOLINE', 'INTERPLAN. CINEMATICS', 'SATURN SYSTEMS']",NO,['CORPORATE'],10,THARSIS,"['TERRAFORMER', 'GARDENER', 'PLANNER']",4,"['70', '66', '66', '62']",,,,,,-LNVEcA5axrfsBxb-m37
"['BANKER', 'THERMALIST', 'MINER']","['MANUTECH', 'MINING GUILD', 'CREDICOR']",NO,['CORPORATE'],11,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",3,"['69', '81', '71']",,,,,,-LNVEna-Kv-kpQX_GEY2
